incident_id,full_name,sex,home_address,phone_number,incident_date,incident_time,location,incident_category,resolution,injury_reported,property_damage,fault_determination,incident_description
2025-F-623309,Juan Sanchez,M,"1500 block of Automall Pkwy, Fremont, CA 94536",(510) 555-0101,2025-08-28,03:20,"Mission Blvd & Grimmer Blvd, Fremont, CA 94539",Bicycle Collision - Solo,Open or Active Investigation,Yes,Yes,No,"Bicycle Collision - Solo reported at Mission Blvd & Grimmer Blvd, Fremont, CA 94539. He sustained severe injury to the head. Transported to UCSF Parnassus by Falck. Body-worn camera available."
2025-SM-147557,Olivia Anderson,F,"1000 block of 3rd Ave, San Mateo, CA 94401",(650) 555-0154,2025-08-30,01:15,"Delaware St & Hillsdale Blvd, San Mateo, CA 94401",Traffic Collision - Vehicle vs Vehicle,Open or Active Investigation,Yes,Yes,Undetermined,"Traffic Collision - Vehicle vs Vehicle reported at Delaware St & Hillsdale Blvd, San Mateo, CA 94401. She sustained minor injury to the face. Body-worn camera available."
2025-SJ-575814,Ricardo Hernandez,M,"700 block of Story Rd, San Jose, CA 95112",(408) 555-0195,2025-09-25,01:50,"Monterey Rd & Story Rd, San Jose, CA 95129",Assault - Aggravated,Open or Active Investigation,Yes,No,Undetermined,"Assault - Aggravated occurred at Monterey Rd & Story Rd, San Jose, CA 95129. He sustained moderate injury to the hip. Transported to Zuckerberg San Francisco General Hospital by AMR. Body-worn camera not available."
2025-H-392756,Andrew Walker,M,"1800 block of Hesperian Blvd, Hayward, CA 94541",(925) 555-0114,2025-09-13,00:05,"Tennyson Rd & A St, Hayward, CA 94544",Traffic Collision - Vehicle vs Pedestrian,Unfounded,Yes,Yes,Undetermined,"Traffic Collision - Vehicle vs Pedestrian reported at Tennyson Rd & A St, Hayward, CA 94544. He sustained minor injury to the leg. Body-worn camera available."
2025-SF-128101,Camila Gonzalez,F,"1300 block of Folsom St, San Francisco, CA 94103",(628) 555-0104,2025-09-09,07:05,"Folsom St & Market St, San Francisco, CA 94112",Construction Site Accident,Citation Issued,Yes,No,Undetermined,"Construction Site Accident occurred at Folsom St & Market St, San Francisco, CA 94112. She sustained severe injury to the knee. Transported to UCSF Parnassus by Rural/Metro. Body-worn camera available."
2025-SM-142604,Vikram Kumar,M,"100 block of Hillsdale Blvd, San Mateo, CA 94402",(650) 555-0104,2025-09-11,02:50,"Hillsdale Blvd & 3rd Ave, San Mateo, CA 94401",Hit and Run,Open or Active Investigation,Yes,Yes,Yes,"Hit and Run reported at Hillsdale Blvd & 3rd Ave, San Mateo, CA 94401. He sustained minor injury to the knee. Body-worn camera available."
2025-F-256376,Victor Wu,M,"400 block of Mission Blvd, Fremont, CA 94536",(510) 555-0165,2025-09-26,02:10,"Grimmer Blvd & Fremont Blvd, Fremont, CA 94536",Traffic Collision - Vehicle vs Bicycle,"Arrest, Booked",Yes,Yes,Undetermined,"Traffic Collision - Vehicle vs Bicycle reported at Grimmer Blvd & Fremont Blvd, Fremont, CA 94536. He sustained minor injury to the arm. Body-worn camera available."
2025-DC-237565,Nisha Mehta,F,"600 block of Gellert Blvd, Daly City, CA 94015",(650) 555-0108,2025-09-18,10:35,"Mission St & Gellert Blvd, Daly City, CA 94014",Construction Site Accident,Report Taken,Yes,No,Undetermined,"Construction Site Accident occurred at Mission St & Gellert Blvd, Daly City, CA 94014. She sustained minor injury to the shoulder. Body-worn camera available."
2025-SF-365324,Rachel Hall,F,"1100 block of Polk St, San Francisco, CA 94110",(415) 555-0125,2025-09-08,22:40,"Folsom St & Taraval St, San Francisco, CA 94107",DUI Related Collision,Report Taken,Yes,Yes,Undetermined,"DUI Related Collision reported at Folsom St & Taraval St, San Francisco, CA 94107. She sustained minor injury to the hip. Body-worn camera available."
2025-O-861000,Hannah Moore,F,"1800 block of MacArthur Blvd, Oakland, CA 94610",(510) 555-0151,2025-09-02,02:05,"MacArthur Blvd & Broadway, Oakland, CA 94607",Transit Incident - Muni,Citation Issued,Yes,No,Undetermined,"Transit Incident - Muni reported at MacArthur Blvd & Broadway, Oakland, CA 94607. She sustained minor injury to the shoulder. Body-worn camera available."
2025-O-949330,Catherine Huang,F,"1600 block of Telegraph Ave, Oakland, CA 94609",(510) 555-0181,2025-09-12,16:55,"Telegraph Ave & San Pablo Ave, Oakland, CA 94612",Slip/Trip and Fall (Public Way),"Arrest, Booked",Yes,No,Undetermined,"Slip/Trip and Fall (Public Way) occurred at Telegraph Ave & San Pablo Ave, Oakland, CA 94612. She sustained minor injury to the arm. Body-worn camera available."
2025-O-567020,Katrina Reyes,F,"2000 block of San Pablo Ave, Oakland, CA 94612",(510) 555-0154,2025-09-16,11:35,"Lakeshore Ave & MacArthur Blvd, Oakland, CA 94607",E-Scooter Collision,Open or Active Investigation,Yes,Yes,Undetermined,"E-Scooter Collision reported at Lakeshore Ave & MacArthur Blvd, Oakland, CA 94607. She sustained minor injury to the hand. Body-worn camera available."
2025-SJ-753202,Nisha Singh,F,"1900 block of Story Rd, San Jose, CA 95132",(408) 555-0167,2025-09-08,10:10,"Capitol Expy & Monterey Rd, San Jose, CA 95132",DUI Related Collision,Open or Active Investigation,Yes,Yes,Undetermined,"DUI Related Collision reported at Capitol Expy & Monterey Rd, San Jose, CA 95132. She sustained minor injury to the hip. Body-worn camera available."
2025-SM-575798,Hannah Hall,F,"1200 block of Hillsdale Blvd, San Mateo, CA 94402",(650) 555-0150,2025-09-14,04:45,"Delaware St & Hillsdale Blvd, San Mateo, CA 94402",Dog Bite,Report Taken,Yes,No,Undetermined,"Dog Bite occurred at Delaware St & Hillsdale Blvd, San Mateo, CA 94402. She sustained minor injury to the hip. Body-worn camera not available."
2025-O-343320,Ricardo Ramirez,M,"1300 block of Lakeshore Ave, Oakland, CA 94607",(510) 555-0152,2025-09-18,16:55,"International Blvd & Broadway, Oakland, CA 94607",Construction Site Accident,Report Taken,Yes,No,Undetermined,"Construction Site Accident occurred at International Blvd & Broadway, Oakland, CA 94607. He sustained minor injury to the hip. Body-worn camera available."
2025-RC-338306,Michael Smith,M,"1300 block of El Camino Real, Redwood City, CA 94063",(650) 555-0196,2025-09-08,08:00,"Woodside Rd & El Camino Real, Redwood City, CA 94061",Transit Incident - Muni,Citation Issued,Yes,No,Undetermined,"Transit Incident - Muni reported at Woodside Rd & El Camino Real, Redwood City, CA 94061. He sustained minor injury to the knee. Body-worn camera available."
2025-H-407963,James Anderson,M,"200 block of Mission Blvd, Hayward, CA 94545",(925) 555-0154,2025-09-02,22:50,"A St & Hesperian Blvd, Hayward, CA 94545",Slip/Trip and Fall (Public Way),Report Taken,Yes,No,Undetermined,"Slip/Trip and Fall (Public Way) occurred at A St & Hesperian Blvd, Hayward, CA 94545. He sustained moderate injury to the neck. Transported to Santa Clara Valley Medical Center by Falck. Body-worn camera not available."
2025-SJ-512156,Andrew Clark,M,"300 block of Stevens Creek Blvd, San Jose, CA 95132",(669) 555-0148,2025-09-23,05:55,"Stevens Creek Blvd & Almaden Blvd, San Jose, CA 95126",Assault - Non-Aggravated,Report Taken,Yes,No,Undetermined,"Assault - Non-Aggravated occurred at Stevens Creek Blvd & Almaden Blvd, San Jose, CA 95126. He sustained minor injury to the wrist. Body-worn camera available."
2025-SM-463446,Maria Reyes,F,"500 block of El Camino Real, San Mateo, CA 94403",(650) 555-0129,2025-09-04,00:15,"3rd Ave & Delaware St, San Mateo, CA 94401",DUI Related Collision,Open or Active Investigation,Yes,Yes,No,"DUI Related Collision reported at 3rd Ave & Delaware St, San Mateo, CA 94401. She sustained minor injury to the hand. Body-worn camera not available."
2025-RC-518830,Matthew Johnson,M,"700 block of Broadway, Redwood City, CA 94061",(650) 555-0153,2025-09-02,10:45,"El Camino Real & Jefferson Ave, Redwood City, CA 94061",Traffic Collision - Vehicle vs Pedestrian,Cleared - Exceptional,Yes,Yes,Yes,"Traffic Collision - Vehicle vs Pedestrian reported at El Camino Real & Jefferson Ave, Redwood City, CA 94061. He sustained severe injury to the wrist. Transported to Stanford Hospital by Rural/Metro. Body-worn camera available."
2025-DC-337378,Ricardo Hernandez,M,"400 block of Mission St, Daly City, CA 94015",(650) 555-0101,2025-08-29,23:15,"Serramonte Blvd & Gellert Blvd, Daly City, CA 94015",Transit Incident - BART,Report Taken,Yes,No,Undetermined,"Transit Incident - BART reported at Serramonte Blvd & Gellert Blvd, Daly City, CA 94015. He sustained minor injury to the wrist. Body-worn camera available."
2025-SJ-572228,Jennifer Moore,F,"1000 block of Santa Clara St, San Jose, CA 95126",(408) 555-0172,2025-09-22,11:55,"Monterey Rd & Capitol Expy, San Jose, CA 95128",Traffic Collision - Vehicle vs Bicycle,Report Taken,Yes,Yes,No,"Traffic Collision - Vehicle vs Bicycle reported at Monterey Rd & Capitol Expy, San Jose, CA 95128. She sustained minor injury to the knee. Body-worn camera not available."
2025-DC-302566,William Johnson,M,"2000 block of Serramonte Blvd, Daly City, CA 94014",(650) 555-0135,2025-09-13,19:00,"John Daly Blvd & Mission St, Daly City, CA 94015",Traffic Collision - Vehicle vs Vehicle,Report Taken,Yes,Yes,Yes,"Traffic Collision - Vehicle vs Vehicle reported at John Daly Blvd & Mission St, Daly City, CA 94015. He sustained minor injury to the back. Body-worn camera not available."
2025-B-517358,Jennifer Hall,F,"1100 block of Telegraph Ave, Berkeley, CA 94710",(510) 555-0109,2025-09-19,19:00,"Ashby Ave & San Pablo Ave, Berkeley, CA 94702",E-Scooter Collision,Citation Issued,Yes,Yes,Undetermined,"E-Scooter Collision reported at Ashby Ave & San Pablo Ave, Berkeley, CA 94702. She sustained moderate injury to the arm. Transported to Kaiser Oakland by Falck. Body-worn camera available."
2025-RC-281623,Andrew Smith,M,"600 block of Broadway, Redwood City, CA 94061",(650) 555-0169,2025-09-08,10:50,"El Camino Real & Jefferson Ave, Redwood City, CA 94063",Rideshare Incident (Uber/Lyft),Open or Active Investigation,Yes,No,Undetermined,"Rideshare Incident (Uber/Lyft) reported at El Camino Real & Jefferson Ave, Redwood City, CA 94063. He sustained minor injury to the back. Body-worn camera available."
2025-SF-527540,Catherine Zhou,F,"1100 block of 16th St, San Francisco, CA 94121",(415) 555-0199,2025-08-31,02:20,"Irving St & Polk St, San Francisco, CA 94109",Construction Site Accident,Citation Issued,Yes,No,Undetermined,"Construction Site Accident occurred at Irving St & Polk St, San Francisco, CA 94109. She sustained minor injury to the arm. Body-worn camera available."
2025-SM-620999,William King,M,"1400 block of 3rd Ave, San Mateo, CA 94402",(650) 555-0102,2025-09-20,10:55,"Hillsdale Blvd & El Camino Real, San Mateo, CA 94401",Bicycle Collision - Solo,Report Taken,Yes,Yes,Undetermined,"Bicycle Collision - Solo reported at Hillsdale Blvd & El Camino Real, San Mateo, CA 94401. He sustained moderate injury to the leg. Transported to Zuckerberg San Francisco General Hospital by AMR. Body-worn camera available."
2025-SM-207921,Lucia Perez,F,"800 block of 3rd Ave, San Mateo, CA 94401",(650) 555-0185,2025-09-03,22:25,"Hillsdale Blvd & 3rd Ave, San Mateo, CA 94403",Traffic Collision - Vehicle vs Pedestrian,Report Taken,No,Yes,No,"Traffic Collision - Vehicle vs Pedestrian reported at Hillsdale Blvd & 3rd Ave, San Mateo, CA 94403. No injuries reported. Body-worn camera available."
2025-SM-388026,Emily Zhou,F,"300 block of El Camino Real, San Mateo, CA 94402",(650) 555-0199,2025-09-08,09:50,"Delaware St & El Camino Real, San Mateo, CA 94402",Hit and Run,Report Taken,Yes,Yes,Undetermined,"Hit and Run reported at Delaware St & El Camino Real, San Mateo, CA 94402. She sustained minor injury to the hip. Body-worn camera available."
2025-F-321151,Olivia Clark,F,"300 block of Automall Pkwy, Fremont, CA 94539",(510) 555-0125,2025-09-17,20:00,"Fremont Blvd & Automall Pkwy, Fremont, CA 94539",Transit Incident - Muni,Report Taken,Yes,No,Undetermined,"Transit Incident - Muni reported at Fremont Blvd & Automall Pkwy, Fremont, CA 94539. She sustained minor injury to the wrist. Body-worn camera available."
2025-O-797694,Catherine Chen,F,"100 block of MacArthur Blvd, Oakland, CA 94606",(510) 555-0123,2025-09-12,04:50,"Telegraph Ave & Lakeshore Ave, Oakland, CA 94609",Assault - Non-Aggravated,Report Taken,Yes,No,Undetermined,"Assault - Non-Aggravated occurred at Telegraph Ave & Lakeshore Ave, Oakland, CA 94609. She sustained severe injury to the hip. Transported to Santa Clara Valley Medical Center by SFFD EMS. Body-worn camera available."
2025-H-288225,Sarah Clark,F,"700 block of Mission Blvd, Hayward, CA 94545",(925) 555-0123,2025-09-15,21:45,"Tennyson Rd & A St, Hayward, CA 94545",Rideshare Incident (Uber/Lyft),Open or Active Investigation,No,No,Undetermined,"Rideshare Incident (Uber/Lyft) reported at Tennyson Rd & A St, Hayward, CA 94545. No injuries reported. Body-worn camera available."
2025-O-404679,Olivia Harris,F,"1900 block of Telegraph Ave, Oakland, CA 94606",(510) 555-0189,2025-09-14,23:50,"San Pablo Ave & Telegraph Ave, Oakland, CA 94612",Traffic Collision - Vehicle vs Bicycle,"Arrest, Booked",Yes,Yes,Undetermined,"Traffic Collision - Vehicle vs Bicycle reported at San Pablo Ave & Telegraph Ave, Oakland, CA 94612. She sustained minor injury to the leg. Body-worn camera available."
2025-SF-529851,Rahul Gupta,M,"100 block of Mission St, San Francisco, CA 94114",(628) 555-0174,2025-09-07,12:20,"Market St & Mission St, San Francisco, CA 94114",Traffic Collision - Vehicle vs Bicycle,Report Taken,Yes,Yes,Undetermined,"Traffic Collision - Vehicle vs Bicycle reported at Market St & Mission St, San Francisco, CA 94114. He sustained minor injury to the ankle. Body-worn camera not available."
2025-SM-800641,Ana Garcia,F,"900 block of 3rd Ave, San Mateo, CA 94401",(650) 555-0100,2025-09-13,13:50,"Delaware St & El Camino Real, San Mateo, CA 94402",Construction Site Accident,Open or Active Investigation,Yes,No,Undetermined,"Construction Site Accident occurred at Delaware St & El Camino Real, San Mateo, CA 94402. She sustained severe injury to the face. Transported to San Mateo Medical Center by SFFD EMS. Body-worn camera available."
2025-DC-262679,Thao Dang,F,"1600 block of John Daly Blvd, Daly City, CA 94014",(650) 555-0114,2025-09-23,01:25,"Gellert Blvd & John Daly Blvd, Daly City, CA 94014",Traffic Collision - Vehicle vs Bicycle,Citation Issued,Yes,Yes,Yes,"Traffic Collision - Vehicle vs Bicycle reported at Gellert Blvd & John Daly Blvd, Daly City, CA 94014. She sustained minor injury to the leg. Body-worn camera available."
2025-B-820544,Lucia Torres,F,"700 block of University Ave, Berkeley, CA 94710",(510) 555-0106,2025-09-21,19:15,"Shattuck Ave & University Ave, Berkeley, CA 94703",Transit Incident - BART,Cleared - Exceptional,Yes,No,Undetermined,"Transit Incident - BART reported at Shattuck Ave & University Ave, Berkeley, CA 94703. She sustained minor injury to the arm. Body-worn camera not available."
2025-RC-117933,Daniel Lin,M,"1700 block of Woodside Rd, Redwood City, CA 94061",(650) 555-0157,2025-09-01,19:10,"Broadway & Jefferson Ave, Redwood City, CA 94063",E-Scooter Collision,Unfounded,Yes,Yes,Yes,"E-Scooter Collision reported at Broadway & Jefferson Ave, Redwood City, CA 94063. He sustained moderate injury to the back. Transported to UCSF Parnassus by Rural/Metro. Body-worn camera not available."
2025-F-805942,Victor Gao,M,"1400 block of Automall Pkwy, Fremont, CA 94538",(510) 555-0181,2025-09-05,10:10,"Automall Pkwy & Mowry Ave, Fremont, CA 94536",Dog Bite,Report Taken,Yes,No,Undetermined,"Dog Bite occurred at Automall Pkwy & Mowry Ave, Fremont, CA 94536. He sustained minor injury to the head. Body-worn camera available."
2025-F-265105,Luis Gonzalez,M,"900 block of Mission Blvd, Fremont, CA 94538",(510) 555-0161,2025-09-02,05:35,"Mission Blvd & Automall Pkwy, Fremont, CA 94538",Traffic Collision - Vehicle vs Bicycle,Citation Issued,Yes,Yes,Undetermined,"Traffic Collision - Vehicle vs Bicycle reported at Mission Blvd & Automall Pkwy, Fremont, CA 94538. He sustained minor injury to the leg. Body-worn camera not available."
