incident_id,full_legal_name,sex,home_address_blocklevel,home_neighborhood,home_zip,phone_number,incident_date,incident_time,incident_time_of_day,location,incident_city,police_agency,incident_category,resolution,incident_description,injury_severity,injury_body_part,witnesses_count,body_worn_camera,transported_to,ems_agency,alcohol_or_drugs_suspected,collision_type,driver_at_fault,insurance_info,cad_event_id,officer_badge,victim_age
2025-DC-189429,Isabella Hernandez,F,"600 block of Mission St, Daly City, CA 94014",Serramonte,94015,(650) 555-0121,2025-09-10,17:10,Afternoon,"Mission St & John Daly Blvd, Daly City, CA 94014",Daly City,Daly City PD,Traffic Collision - Vehicle vs Bicycle,Report Taken,"Traffic Collision - Vehicle vs Bicycle reported at Mission St & John Daly Blvd, Daly City, CA 94014. She sustained moderate injury to the leg. Transported to Stanford Hospital by Falck. Body-worn camera available.",Moderate,leg,0,Yes,Stanford Hospital,Falck,Yes,Dooring,Yes,Provided - Claimant carrier: Allstate; Coverage: Non-owner policy; Policy: 199-96XX-7883 (masked); Claim#: CLM925007,CAD179809755,55235,64
2025-DC-122840,Grace Zheng,F,"1500 block of John Daly Blvd, Daly City, CA 94014",Top of the Hill,94014,(650) 555-0123,2025-09-08,18:00,Evening,"Serramonte Blvd & Gellert Blvd, Daly City, CA 94015",Daly City,Daly City PD,E-Scooter Collision,"Arrest, Booked","E-Scooter Collision reported at Serramonte Blvd & Gellert Blvd, Daly City, CA 94015. She sustained severe injury to the hip. Transported to Santa Clara Valley Medical Center by AMR. Body-worn camera available.",Severe,hip,0,Yes,Santa Clara Valley Medical Center,AMR,No,Head-on,Undetermined,Provided - Other party carrier: AAA (CSAA); Coverage: Commercial policy; Policy: 745-37XX-9436 (masked); Claim#: CLM258536,CAD966943227,41390,18
2025-RC-473529,Robert Davis,M,"700 block of Jefferson Ave, Redwood City, CA 94063",Palm Park,94063,(650) 555-0115,2025-09-22,17:10,Afternoon,"Woodside Rd & El Camino Real, Redwood City, CA 94061",Redwood City,RWC PD,DUI Related Collision,Open or Active Investigation,"DUI Related Collision reported at Woodside Rd & El Camino Real, Redwood City, CA 94061. He sustained severe injury to the head. Transported to Highland Hospital (Oakland) by AMR. Body-worn camera available.",Severe,head,2,Yes,Highland Hospital (Oakland),AMR,Yes,Head-on,Yes,Provided - Claimant carrier: Progressive; Coverage: Liability only; Policy: 564-21XX-5366 (masked); Claim#: CLM733971,CAD445711817,52033,47
2025-O-893615,Linh Hoang,F,"1800 block of San Pablo Ave, Oakland, CA 94607",Fruitvale,94607,(510) 555-0117,2025-09-24,00:10,Night,"International Blvd & Telegraph Ave, Oakland, CA 94609",Oakland,OPD,Construction Site Accident,Citation Issued,"Construction Site Accident occurred at International Blvd & Telegraph Ave, Oakland, CA 94609. She sustained moderate injury to the face. Transported to Stanford Hospital by Rural/Metro. Body-worn camera available.",Moderate,face,3,Yes,Stanford Hospital,Rural/Metro,No,,,Provided - Claimant carrier: Mercury; Coverage: Commercial policy; Policy: 384-12XX-3389 (masked); Claim#: CLM468896,CAD845308961,11248,58
2025-DC-524919,Emily Johnson,F,"200 block of Serramonte Blvd, Daly City, CA 94015",Top of the Hill,94015,(650) 555-0186,2025-09-20,01:05,Night,"Gellert Blvd & John Daly Blvd, Daly City, CA 94015",Daly City,Daly City PD,Dog Bite,"Arrest, Booked","Dog Bite occurred at Gellert Blvd & John Daly Blvd, Daly City, CA 94015. She sustained severe injury to the hip. Transported to UCSF Parnassus by Rural/Metro. Body-worn camera available.",Severe,hip,2,No,UCSF Parnassus,Rural/Metro,Yes,,,Provided - Claimant carrier: Farmers; Coverage: Liability only; Policy: 975-21XX-8753 (masked); Claim#: CLM637969,CAD238193884,36790,85
2025-F-623309,Juan Sanchez,M,"1500 block of Automall Pkwy, Fremont, CA 94536",Warm Springs,94536,(510) 555-0101,2025-08-28,03:20,Night,"Mission Blvd & Grimmer Blvd, Fremont, CA 94539",Fremont,Fremont PD,Bicycle Collision - Solo,Open or Active Investigation,"Bicycle Collision - Solo reported at Mission Blvd & Grimmer Blvd, Fremont, CA 94539. He sustained severe injury to the head. Transported to UCSF Parnassus by Falck. Body-worn camera available.",Severe,head,3,Yes,UCSF Parnassus,Falck,No,Right hook,No,Provided - Other party carrier: AAA (CSAA); Coverage: Non-owner policy; Policy: 150-56XX-3838 (masked); Claim#: CLM448755,CAD993027163,58433,81
2025-SM-147557,Olivia Anderson,F,"1000 block of 3rd Ave, San Mateo, CA 94401",Hillsdale,94401,(650) 555-0154,2025-08-30,01:15,Night,"Delaware St & Hillsdale Blvd, San Mateo, CA 94401",San Mateo,SMPD,Traffic Collision - Vehicle vs Vehicle,Open or Active Investigation,"Traffic Collision - Vehicle vs Vehicle reported at Delaware St & Hillsdale Blvd, San Mateo, CA 94401. She sustained minor injury to the face. Body-worn camera available.",Minor,face,2,Yes,,,No,Rear-end,Undetermined,Provided - Claimant carrier: Progressive; Coverage: Non-owner policy; Policy: 394-33XX-3363 (masked); Claim#: CLM217638,CAD622820226,78267,84
2025-SJ-575814,Ricardo Hernandez,M,"700 block of Story Rd, San Jose, CA 95112",Evergreen,95123,(408) 555-0195,2025-09-25,01:50,Night,"Monterey Rd & Story Rd, San Jose, CA 95129",San Jose,SJPD,Assault - Aggravated,Open or Active Investigation,"Assault - Aggravated occurred at Monterey Rd & Story Rd, San Jose, CA 95129. He sustained moderate injury to the hip. Transported to Zuckerberg San Francisco General Hospital by AMR. Body-worn camera not available.",Moderate,hip,4,Yes,Zuckerberg San Francisco General Hospital,AMR,No,,,Provided - Other party carrier: GEICO; Coverage: Commercial policy; Policy: 173-46XX-1164 (masked); Claim#: CLM830078,CAD468235908,39108,21
2025-H-392756,Andrew Walker,M,"1800 block of Hesperian Blvd, Hayward, CA 94541",Harder-Tennyson,94541,(925) 555-0114,2025-09-13,00:05,Night,"Tennyson Rd & A St, Hayward, CA 94544",Hayward,HPD,Traffic Collision - Vehicle vs Pedestrian,Unfounded,"Traffic Collision - Vehicle vs Pedestrian reported at Tennyson Rd & A St, Hayward, CA 94544. He sustained minor injury to the leg. Body-worn camera available.",Minor,leg,1,Yes,,,No,Loss of control,Undetermined,Provided - Claimant carrier: Farmers; Coverage: Liability only; Policy: 576-86XX-9927 (masked); Claim#: CLM982034,CAD535090858,31810,53
2025-SF-128101,Camila Gonzalez,F,"1300 block of Folsom St, San Francisco, CA 94103",Tenderloin,94110,(628) 555-0104,2025-09-09,07:05,Morning,"Folsom St & Market St, San Francisco, CA 94112",San Francisco,SFPD,Construction Site Accident,Citation Issued,"Construction Site Accident occurred at Folsom St & Market St, San Francisco, CA 94112. She sustained severe injury to the knee. Transported to UCSF Parnassus by Rural/Metro. Body-worn camera available.",Severe,knee,2,No,UCSF Parnassus,Rural/Metro,No,,,Provided - Claimant carrier: Liberty Mutual; Coverage: Full coverage; Policy: 594-54XX-7002 (masked); Claim#: CLM674881,CAD778240864,22096,24
2025-SM-142604,Vikram Kumar,M,"100 block of Hillsdale Blvd, San Mateo, CA 94402",Downtown,94402,(650) 555-0104,2025-09-11,02:50,Night,"Hillsdale Blvd & 3rd Ave, San Mateo, CA 94401",San Mateo,SMPD,Hit and Run,Open or Active Investigation,"Hit and Run reported at Hillsdale Blvd & 3rd Ave, San Mateo, CA 94401. He sustained minor injury to the knee. Body-worn camera available.",Minor,knee,2,Yes,,,No,,Yes,Provided - Claimant carrier: USAA; Coverage: Non-owner policy; Policy: 878-39XX-7440 (masked); Claim#: CLM341770,CAD252546216,23973,71
2025-F-256376,Victor Wu,M,"400 block of Mission Blvd, Fremont, CA 94536",Centerville,94539,(510) 555-0165,2025-09-26,02:10,Night,"Grimmer Blvd & Fremont Blvd, Fremont, CA 94536",Fremont,Fremont PD,Traffic Collision - Vehicle vs Bicycle,"Arrest, Booked","Traffic Collision - Vehicle vs Bicycle reported at Grimmer Blvd & Fremont Blvd, Fremont, CA 94536. He sustained minor injury to the arm. Body-worn camera available.",Minor,arm,2,Yes,,,No,Rear-end,Undetermined,Provided - Other party carrier: Mercury; Coverage: Liability only; Policy: 526-71XX-9227 (masked); Claim#: CLM646405,CAD703597628,92606,21
2025-DC-237565,Nisha Mehta,F,"600 block of Gellert Blvd, Daly City, CA 94015",Westlake,94014,(650) 555-0108,2025-09-18,10:35,Morning,"Mission St & Gellert Blvd, Daly City, CA 94014",Daly City,Daly City PD,Construction Site Accident,Report Taken,"Construction Site Accident occurred at Mission St & Gellert Blvd, Daly City, CA 94014. She sustained minor injury to the shoulder. Body-worn camera available.",Minor,shoulder,0,No,,,No,,,Provided - Other party carrier: State Farm; Coverage: Commercial policy; Policy: 947-93XX-6808 (masked); Claim#: CLM910658,CAD431713243,84278,40
2025-SF-365324,Rachel Hall,F,"1100 block of Polk St, San Francisco, CA 94110",Sunset,94114,(415) 555-0125,2025-09-08,22:40,Evening,"Folsom St & Taraval St, San Francisco, CA 94107",San Francisco,SFPD,DUI Related Collision,Report Taken,"DUI Related Collision reported at Folsom St & Taraval St, San Francisco, CA 94107. She sustained minor injury to the hip. Body-worn camera available.",Minor,hip,2,No,,,Yes,Left turn,Undetermined,Unknown,CAD280622857,14088,57
2025-O-861000,Hannah Moore,F,"1800 block of MacArthur Blvd, Oakland, CA 94610",Rockridge,94607,(510) 555-0151,2025-09-02,02:05,Night,"MacArthur Blvd & Broadway, Oakland, CA 94607",Oakland,OPD,Transit Incident - Muni,Citation Issued,"Transit Incident - Muni reported at MacArthur Blvd & Broadway, Oakland, CA 94607. She sustained minor injury to the shoulder. Body-worn camera available.",Minor,shoulder,2,Yes,,,No,,,Provided - Claimant carrier: Nationwide; Coverage: Rideshare TNC coverage; Policy: 777-99XX-6532 (masked); Claim#: CLM823209,CAD861823709,9694,76
2025-O-949330,Catherine Huang,F,"1600 block of Telegraph Ave, Oakland, CA 94609",Temescal,94610,(510) 555-0181,2025-09-12,16:55,Afternoon,"Telegraph Ave & San Pablo Ave, Oakland, CA 94612",Oakland,OPD,Slip/Trip and Fall (Public Way),"Arrest, Booked","Slip/Trip and Fall (Public Way) occurred at Telegraph Ave & San Pablo Ave, Oakland, CA 94612. She sustained minor injury to the arm. Body-worn camera available.",Minor,arm,1,No,,,No,,,Provided - Claimant carrier: USAA; Coverage: Full coverage; Policy: 970-14XX-1687 (masked); Claim#: CLM423029,CAD505696262,83753,82
2025-O-567020,Katrina Reyes,F,"2000 block of San Pablo Ave, Oakland, CA 94612",Fruitvale,94607,(510) 555-0154,2025-09-16,11:35,Morning,"Lakeshore Ave & MacArthur Blvd, Oakland, CA 94607",Oakland,OPD,E-Scooter Collision,Open or Active Investigation,"E-Scooter Collision reported at Lakeshore Ave & MacArthur Blvd, Oakland, CA 94607. She sustained minor injury to the hand. Body-worn camera available.",Minor,hand,3,No,,,No,Right hook,Undetermined,Provided - Other party carrier: Nationwide; Coverage: Full coverage; Policy: 173-14XX-8864 (masked); Claim#: CLM429958,CAD617192737,69832,23
2025-SJ-753202,Nisha Singh,F,"1900 block of Story Rd, San Jose, CA 95132",Evergreen,95126,(408) 555-0167,2025-09-08,10:10,Morning,"Capitol Expy & Monterey Rd, San Jose, CA 95132",San Jose,SJPD,DUI Related Collision,Open or Active Investigation,"DUI Related Collision reported at Capitol Expy & Monterey Rd, San Jose, CA 95132. She sustained minor injury to the hip. Body-worn camera available.",Minor,hip,0,No,,,Yes,Rear-end,Undetermined,Provided - Claimant carrier: Progressive; Coverage: Liability only; Policy: 359-15XX-9376 (masked); Claim#: CLM148628,CAD813493228,13402,48
2025-SM-575798,Hannah Hall,F,"1200 block of Hillsdale Blvd, San Mateo, CA 94402",Shoreview,94403,(650) 555-0150,2025-09-14,04:45,Night,"Delaware St & Hillsdale Blvd, San Mateo, CA 94402",San Mateo,SMPD,Dog Bite,Report Taken,"Dog Bite occurred at Delaware St & Hillsdale Blvd, San Mateo, CA 94402. She sustained minor injury to the hip. Body-worn camera not available.",Minor,hip,1,Yes,,,No,,,Provided - Claimant carrier: Nationwide; Coverage: Commercial policy; Policy: 985-52XX-3617 (masked); Claim#: CLM240764,CAD707087553,32144,61
2025-O-343320,Ricardo Ramirez,M,"1300 block of Lakeshore Ave, Oakland, CA 94607",Downtown,94609,(510) 555-0152,2025-09-18,16:55,Afternoon,"International Blvd & Broadway, Oakland, CA 94607",Oakland,OPD,Construction Site Accident,Report Taken,"Construction Site Accident occurred at International Blvd & Broadway, Oakland, CA 94607. He sustained minor injury to the hip. Body-worn camera available.",Minor,hip,3,No,,,No,,,Provided - Other party carrier: Liberty Mutual; Coverage: Non-owner policy; Policy: 402-32XX-1783 (masked); Claim#: CLM818590,CAD416699920,52138,55
